startSeconds,endSeconds,isTargetChild
18453.05,18453.65,False
18550.95,18551.55,False
18561.58,18562.18,False
18568.69,18569.74,True
18605.43,18606.49,True
18643.87,18644.47,True
18656.36,18657.18,True
18667.4,18668.0,True
18678.62,18679.22,True
18698.8,18699.4,True
18719.77,18720.47,True
18887.8,18888.57,False
18890.53,18891.13,True
19237.43,19238.04,True
20433.9,20434.5,False
21761.03,21761.63,True
21886.96,21887.56,False
22037.45,22038.05,False
22734.78,22735.38,False
22736.46,22737.07,False
22739.67,22740.32,False
22860.37,22860.97,True
22916.65,22917.25,False
22917.25,22918.2,False
22918.2,22918.99,False
22920.01,22921.43,False
22925.61,22926.3,False
22928.82,22929.49,False
22941.47,22942.78,False
22944.42,22945.05,False
22950.02,22950.71,False
22958.12,22958.81,False
22967.88,22968.54,False
22968.54,22969.57,False
22975.3,22976.31,False
22976.31,22977.5,False
22986.09,22990.78,False
22992.11,22992.71,False
23006.23,23008.63,False
23009.73,23010.47,False
23010.47,23011.84,False
23030.27,23031.02,False
23034.96,23035.57,False
23036.84,23037.84,False
23037.84,23038.86,False
23041.39,23042.19,False
23045.24,23045.84,False
23046.64,23047.25,False
23048.89,23049.49,False
23057.0,23057.6,False
23087.17,23087.85,False
23087.85,23088.66,False
23112.52,23113.14,True
23131.13,23133.16,True
23142.12,23142.72,False
23180.69,23181.75,False
23192.96,23193.57,False
23205.1,23205.71,False
23348.8,23349.42,False
23373.49,23374.09,False
23377.75,23378.35,False
23468.14,23468.77,False
23666.46,23667.06,False
23668.06,23668.68,False
23678.73,23679.33,False
23683.59,23684.44,True
23696.34,23697.18,True
23716.02,23716.62,False
23740.53,23741.14,True
23749.28,23749.92,True
23749.92,23750.92,True
23767.86,23768.51,True
23772.82,23774.5,True
23776.25,23777.83,True
23778.73,23779.41,True
23782.87,23783.47,True
23784.42,23786.23,True
23788.95,23790.43,False
23794.63,23795.43,False
23832.71,23833.44,False
23929.25,23929.85,False
24270.78,24274.75,False
24278.19,24278.86,True
24284.18,24286.48,True
24302.23,24303.15,True
24307.33,24307.95,True
24646.29,24647.29,False
24648.62,24650.18,False
24692.94,24696.52,False
24716.44,24717.45,False
24724.38,24725.39,False
24726.49,24727.49,False
24760.37,24761.56,False
24928.53,24929.6,False
25256.48,25257.08,False
25651.7,25652.62,False
25655.78,25656.5,False
25823.42,25824.05,False
25845.53,25846.13,False
25866.4,25867.65,False
25868.86,25870.11,False
25896.79,25897.76,False
25903.1,25903.7,False
25904.96,25906.18,False
25914.45,25915.61,False
25916.61,25917.38,False
25920.26,25920.9,False
25926.85,25927.46,False
25929.5,25930.12,False
25941.85,25942.45,False
25943.25,25944.41,False
25981.27,25982.63,False
25990.96,25991.59,False
25995.62,25996.32,False
26131.57,26132.17,False
26318.21,26318.81,False
26519.54,26520.3,False
26521.41,26522.03,False
26525.42,26526.15,False
26530.24,26530.84,False
26535.51,26536.11,False
26552.43,26553.22,False
26578.26,26579.23,False
26591.11,26591.72,False
26598.03,26599.01,False
26602.8,26603.4,True
26606.23,26607.05,True
26646.03,26646.64,False
26672.22,26673.96,False
26677.43,26678.9,False
26708.52,26709.41,False
26729.34,26730.76,False
26730.76,26731.94,False
26732.8,26733.97,False
26738.11,26738.79,False
26739.62,26741.32,False
26742.27,26742.87,True
26746.75,26747.35,False
26748.52,26749.12,False
26750.81,26751.88,False
26751.88,26752.54,False
26764.79,26765.45,False
26766.53,26767.13,False
26768.13,26768.73,True
26782.61,26783.21,True
26783.21,26784.29,False
26785.17,26786.78,False
26788.49,26789.57,False
26789.57,26790.68,False
26794.03,26794.78,False
26796.07,26796.67,False
26797.67,26798.8,True
26883.26,26883.89,False
26883.89,26884.98,False
26884.98,26885.79,False
26908.67,26909.94,False
26923.74,26924.67,True
26926.04,26926.72,False
26927.53,26928.33,False
26932.99,26933.62,False
26936.53,26937.21,False
26938.41,26939.41,False
26946.54,26947.54,False
26947.54,26948.93,False
26954.65,26955.52,False
26975.49,26976.25,False
26981.91,26982.65,False
26991.15,26991.76,False
27033.48,27034.28,False
27041.58,27042.94,False
27042.94,27044.26,False
27044.26,27045.8,False
27048.49,27049.95,False
27099.38,27100.67,False
27117.3,27118.44,False
27125.45,27126.05,False
27126.05,27127.77,False
27275.99,27276.65,True
27280.68,27281.99,True
27287.05,27287.65,True
27293.99,27294.7,False
27369.52,27370.12,True
27409.99,27410.69,False
27546.53,27547.38,False
27646.05,27647.56,False
27653.23,27654.48,False
27659.27,27660.47,False
27669.22,27669.9,False
27669.9,27670.7,False
27670.7,27671.77,False
27671.77,27672.66,False
27690.97,27692.02,False
27696.36,27696.96,False
27713.99,27714.74,False
27718.89,27719.51,False
27721.06,27721.66,False
27745.06,27746.06,False
27900.69,27901.54,False
27903.17,27903.77,False
27906.74,27907.35,False
27938.26,27938.86,False
27948.8,27949.86,False
27952.17,27952.94,False
27966.47,27967.7,False
27967.7,27969.34,False
27971.01,27972.09,False
27974.38,27975.93,False
27989.05,27991.7,False
28002.2,28003.34,False
28003.34,28004.37,False
28013.18,28014.13,False
28083.29,28083.9,True
28087.62,28088.22,False
28089.02,28089.62,True
28101.58,28102.21,False
28106.58,28108.54,False
28110.09,28110.69,False
28111.78,28112.58,False
28114.57,28115.17,False
28115.97,28116.57,False
28126.02,28127.97,False
28128.9,28129.5,False
28130.5,28131.67,False
28132.76,28135.51,False
28136.32,28138.87,True
28139.71,28140.99,True
28142.82,28143.87,False
28161.22,28165.19,False
28165.99,28169.02,True
28171.71,28173.55,True
28177.89,28180.69,False
28196.74,28199.43,True
28203.22,28203.83,True
28214.99,28215.73,True
28216.53,28218.87,True
28221.04,28223.39,False
28224.87,28227.58,False
28230.36,28232.05,False
28232.92,28234.41,True
28235.41,28237.11,True
28238.0,28238.61,True
28240.46,28241.1,True
28241.99,28243.71,True
28244.88,28245.77,True
28248.57,28250.11,False
28252.09,28255.99,True
28256.99,28257.72,False
28259.86,28261.57,False
28262.4,28263.21,True
28264.33,28265.29,True
