segtype,startsec,endsec
TVN,1071.58,1078.40
SIL,1078.40,1084.65
TVN,1084.65,1086.03
SIL,1086.03,1086.83
SIL,1086.83,1093.93
CHNNSP,1093.93,1094.53
TVN,1094.53,1101.60
SIL,1101.60,1108.95
TVN,1108.95,1115.58
TVN,1115.58,1116.30
SIL,1116.30,1121.65
SIL,1121.65,1123.06
TVN,1123.06,1124.06
TVN,1124.06,1130.15
TVN,1130.15,1131.15
TVN,1131.15,1132.47
FAN,1132.47,1133.55
TVN,1133.55,1134.67
FAN,1134.67,1135.67
TVN,1135.67,1142.61
TVN,1142.61,1143.62
SIL,1143.62,1145.63
TVN,1145.63,1146.63
TVN,1146.63,1148.41
TVN,1148.41,1149.47
TVN,1149.47,1151.89
TVN,1151.89,1152.49
TVN,1152.49,1154.22
TVN,1154.22,1154.82
TVN,1154.82,1171.06
TVN,1171.06,1172.76
TVN,1172.76,1178.11
TVN,1178.11,1179.84
TVN,1179.84,1190.11
TVN,1190.11,1190.71
TVN,1190.71,1192.29
TVN,1192.29,1193.61
TVN,1193.61,1201.40
TVN,1201.40,1202.49
SIL,1202.49,1203.61
TVN,1203.61,1204.61
TVN,1204.61,1206.56
TVN,1206.56,1208.01
SIL,1208.01,1212.00
SIL,1212.00,1219.35
SIL,1219.35,1220.72
TVN,1220.72,1221.77
TVN,1221.77,1225.45
TVN,1225.45,1226.05
TVN,1226.05,1228.49
TVN,1228.49,1229.49
TVN,1229.49,1232.38
TVN,1232.38,1232.98
SIL,1232.98,1240.00
SIL,1240.00,1246.75
SIL,1246.75,1248.15
CXF,1248.15,1249.77
FAN,1249.77,1250.40
TVN,1250.40,1253.56
MAN,1253.56,1254.16
SIL,1254.16,1257.08
TVN,1257.08,1258.08
TVN,1258.08,1260.05
TVN,1260.05,1261.12
SIL,1261.12,1263.72
TVN,1263.72,1264.73
TVN,1264.73,1268.51
TVN,1268.51,1269.79
TVN,1269.79,1272.40
TVN,1272.40,1273.40
SIL,1273.40,1274.87
TVN,1274.87,1275.90
SIL,1275.90,1281.65
TVN,1281.65,1292.40
SIL,1292.40,1298.55
TVN,1298.55,1301.54
TVN,1301.54,1302.54
TVN,1302.54,1305.70
TVN,1305.70,1307.97
SIL,1307.97,1309.76
TVF,1309.76,1310.89
SIL,1310.89,1311.94
FAN,1311.94,1313.14
TVN,1313.14,1316.45
TVF,1316.45,1317.46
TVN,1317.46,1318.46
TVF,1318.46,1319.06
TVN,1319.06,1321.36
TVF,1321.36,1323.01
TVN,1323.01,1324.20
MAN,1324.20,1325.01
TVN,1325.01,1326.01
MAN,1326.01,1326.61
TVN,1326.61,1327.61
